Date,Intake_CBP,In_CBP,Transferred_to_HHS,In_HHS,Discharged,Discharge_Effectiveness,Transfer_Efficiency,Throughput,CBP Backlog,HHS Backlog,Backlog,Total_system_load,CBP_Bottleneck_Score,HHS_Bottleneck_Score,Discharge_Stability,Outcome_Stability_Score,Avg_Stay_Proxy_HHS,CBP_Flow_Balance,HHS_Flow_Balance,Year,Month,Month_Name,Day_of_Week,Day_Name,Week,Quarter,Is_Weekend,Transfer_Efficiency_MA7,Discharge_Effectiveness_MA7,HHS_Care_MA7,Transfer_Efficiency_MA14,Discharge_Effectiveness_MA14,HHS_Care_MA14,Transfer_Efficiency_MA30,Discharge_Effectiveness_MA30,HHS_Care_MA30,Imbalance,High_Imbalance,Imbalance_Group,Cumulative_Backlog,Day,Day_Type
12-01-2023,33,53,34,6566,436,0.06640268,0.641509434,13.21212121,-1,-402,-403,6619,0.00015108,0.06073425,,1,15.05963303,1,402,2023,2023-01,January,3,Thursday,2,1,0,0.641509434,0.06640268,6566,0.641509434,0.06640268,6566,0.641509434,0.06640268,6566,-403,FALSE,1,-403,Thursday,Weekday
22-01-2023,32,49,39,7122,227,0.031873069,0.795918367,7.09375,-7,-188,-195,7171,0.000976154,0.026216706,0.445807895,0.554192105,31.37444934,7,188,2023,2023-01,January,6,Sunday,3,1,1,0.718713901,0.049137875,6844,0.718713901,0.049137875,6844,0.718713901,0.049137875,6844,-195,FALSE,1,-598,Sunday,Weekend
23-01-2023,32,50,39,7280,181,0.024862637,0.78,5.65625,-7,-142,-149,7330,0.00095498,0.019372442,0.483076793,0.516923207,40.22099448,7,142,2023,2023-01,January,0,Monday,4,1,0,0.7391426,0.041046129,6989.333333,0.7391426,0.041046129,6989.333333,0.7391426,0.041046129,6989.333333,-149,FALSE,1,-747,Monday,Weekday
24-01-2023,47,42,47,7433,175,0.023543657,1.119047619,3.723404255,0,-128,-128,7475,0,0.017123746,0.483005783,0.516994217,42.47428571,0,128,2023,2023-01,January,1,Tuesday,4,1,0,0.834118855,0.036670511,7100.25,0.834118855,0.036670511,7100.25,0.834118855,0.036670511,7100.25,-128,FALSE,1,-875,Tuesday,Weekday
25-01-2023,20,22,41,7538,180,0.023879013,1.863636364,9,-21,-139,-160,7560,0.002777778,0.018386243,0.465726617,0.534273383,41.87777778,21,139,2023,2023-01,January,2,Wednesday,4,1,0,1.040022357,0.034112211,7187.8,1.040022357,0.034112211,7187.8,1.040022357,0.034112211,7187.8,-160,FALSE,1,-1035,Wednesday,Weekday
29-01-2023,23,45,11,7472,303,0.040551392,0.244444444,13.17391304,12,-292,-280,7517,0.001596382,0.038845284,0.412126965,0.587873035,24.66006601,-12,292,2023,2023-01,January,6,Sunday,4,1,1,0.907426038,0.035185408,7235.166667,0.907426038,0.035185408,7235.166667,0.907426038,0.035185408,7235.166667,-280,FALSE,1,-1315,Sunday,Weekend
30-01-2023,34,54,29,7743,196,0.025313186,0.537037037,5.764705882,5,-167,-162,7797,0.000641272,0.021418494,0.397380043,0.602619957,39.50510204,-5,167,2023,2023-01,January,0,Monday,5,1,0,0.854513324,0.033775091,7307.714286,0.854513324,0.033775091,7307.714286,0.854513324,0.033775091,7307.714286,-162,FALSE,1,-1477,Monday,Weekday
31-01-2023,26,36,36,7803,158,0.020248622,1,6.076923077,-10,-122,-132,7839,0.001275673,0.01556321,0.241891585,0.758108415,49.38607595,10,122,2023,2023-01,January,1,Tuesday,5,1,0,0.905726262,0.027181654,7484.428571,0.872699158,0.032084282,7369.625,0.872699158,0.032084282,7369.625,-132,FALSE,1,-1609,Tuesday,Weekday
01-02-2023,25,32,27,7903,231,0.029229407,0.84375,9.24,-2,-204,-206,7935,0.000252048,0.025708885,0.242932872,0.757067128,34.21212121,2,204,2023,2023-02,February,2,Wednesday,5,1,0,0.912559352,0.026803988,7596,0.869482585,0.031767074,7428.888889,0.869482585,0.031767074,7428.888889,-206,FALSE,1,-1815,Wednesday,Weekday
02-02-2023,15,13,23,7879,298,0.037822059,1.769230769,19.86666667,-8,-275,-283,7892,0.001013685,0.034845413,0.26962523,0.73037477,26.43959732,8,275,2023,2023-02,February,3,Thursday,5,1,0,1.053878033,0.028655334,7681.571429,0.959457403,0.032372572,7473.9,0.959457403,0.032372572,7473.9,-283,FALSE,1,-2098,Thursday,Weekday
05-02-2023,16,18,15,7586,342,0.045083048,0.833333333,21.375,1,-327,-326,7604,0.00013151,0.043003682,0.289633596,0.710366404,22.18128655,-1,327,2023,2023-02,February,6,Sunday,5,1,1,1.013061707,0.031732389,7703.428571,0.947991579,0.03352807,7484.090909,0.947991579,0.03352807,7484.090909,-326,FALSE,1,-2424,Sunday,Weekend
06-02-2023,11,22,12,7720,196,0.025388601,0.545454545,17.81818182,-1,-184,-185,7742,0.000129166,0.023766469,0.278052853,0.721947147,39.3877551,1,184,2023,2023-02,February,0,Monday,6,1,0,0.824750019,0.031948045,7729.428571,0.914446826,0.032849781,7503.75,0.914446826,0.032849781,7503.75,-185,FALSE,1,-2609,Monday,Weekday
07-02-2023,16,20,20,7855,200,0.025461489,1,12.5,-4,-180,-184,7875,0.000507937,0.022857143,0.281783413,0.718216587,39.275,4,180,2023,2023-02,February,1,Tuesday,6,1,0,0.932686526,0.029792345,7784.142857,0.921027839,0.032281451,7530.769231,0.921027839,0.032281451,7530.769231,-184,FALSE,1,-2793,Tuesday,Weekday
08-02-2023,93,196,169,7915,317,0.040050537,0.862244898,3.408602151,-76,-148,-224,8111,0.009369991,0.018246825,0.28171063,0.71828937,24.96845426,76,148,2023,2023-02,February,2,Wednesday,6,1,0,0.979144792,0.03189768,7808.714286,0.916829058,0.032836386,7558.214286,0.916829058,0.032836386,7558.214286,-224,FALSE,1,-3017,Wednesday,Weekday
09-02-2023,124,234,161,7908,353,0.044638341,0.688034188,2.846774194,-37,-192,-229,8142,0.004544338,0.02358143,0.240835469,0.759164531,22.40226629,37,192,2023,2023-02,February,3,Thursday,6,1,0,0.934578248,0.035381926,7823.714286,0.920152255,0.03128179,7654.071429,0.901576067,0.033623183,7581.533333,-229,FALSE,1,-3246,Thursday,Weekday
12-02-2023,92,203,173,7434,317,0.042641916,0.852216749,3.445652174,-81,-144,-225,7637,0.010606259,0.018855572,0.223908677,0.776091323,23.4511041,81,144,2023,2023-02,February,6,Sunday,6,1,1,0.935787783,0.037297999,7756.714286,0.924173568,0.032050993,7676.357143,0.898491109,0.034186853,7572.3125,-225,FALSE,1,-3471,Sunday,Weekend
13-02-2023,186,259,172,7483,244,0.032607243,0.664092664,1.311827957,14,-72,-58,7742,0.001808318,0.009299923,0.236939215,0.763060785,30.66803279,-14,72,2023,2023-02,February,0,Monday,7,1,0,0.777910911,0.036553025,7700.142857,0.915894472,0.032604179,7690.857143,0.884702965,0.034093935,7567.058824,-58,FALSE,1,-3529,Monday,Weekday
14-02-2023,154,225,220,7794,223,0.028611753,0.977777778,1.448051948,-66,-3,-69,8019,0.008230453,0.000374111,0.240993803,0.759006197,34.95067265,66,3,2023,2023-02,February,1,Tuesday,7,1,0,0.798545832,0.034199983,7729.857143,0.905803769,0.032966186,7716.642857,0.889873788,0.033789369,7579.666667,-69,FALSE,1,-3598,Tuesday,Weekday
